Rank,Athlete,Country,Result,Finished,Year
1,Enrico FABRIS,ITA,01:45.97,1,2006
2,Shani DAVIS,USA,01:46.13,1,2006
3,Chad HEDRICK,USA,01:46.22,1,2006
4,Simon KUIPERS,NED,01:46.58,1,2006
5,Erben WENNEMARS,NED,01:46.71,1,2006
6,Ivan SKOBREV,RUS,01:46.91,1,2006
7,Petter ANDERSEN,NOR,01:47.15,1,2006
8,Mikael FLYGIND-LARSEN,NOR,01:47.28,1,2006
9,Joey CHEEK,USA,01:47.52,1,2006
10,Even WETTEN,NOR,01:47.78,1,2006
11,Denny MORRISON,CAN,01:48.04,1,2006
12,Konrad NIEDZWIEDZKI,POL,01:48.09,1,2006
12,Steven ELM,CAN,01:48.09,1,2006
14,Jong Woo LEE,KOR,01:48.11,1,2006
15,Sven KRAMER,NED,01:48.36,1,2006
16,Joon MOON,KOR,01:48.38,1,2006
17,Arne DANKERS,CAN,01:48.42,1,2006
18,Ippolito SANFRATELLO,ITA,01:48.44,1,2006
19,Derek PARRA,USA,01:48.54,1,2006
20,Jan BOS,NED,01:48.61,1,2006
21,Dmitry SHEPEL,RUS,01:48.74,1,2006
22,Stefano DONAGRANDI,ITA,01:48.85,1,2006
23,Yevgeny LALENKOV,RUS,01:49.00,1,2006
24,Teruhiro SUGIMORI,JPN,01:49.51,1,2006
24,Risto ROSENDAHL,FIN,01:49.51,1,2006
26,Stefan HEYTHAUSEN,GER,01:49.58,1,2006
27,Justin WARSYLEWICZ,CAN,01:49.77,1,2006
28,Jin Woo LEE,KOR,01:49.85,1,2006
29,Matteo ANESI,ITA,01:49.88,1,2006
30,Xuefeng GAO,CHN,01:49.91,1,2006
31,Tobias SCHNEIDER,GER,01:50.18,1,2006
32,Aleksandr KIBALKO,RUS,01:50.29,1,2006
33,Johan RÖJLER,SWE,01:50.50,1,2006
34,Yusuke IMAI,JPN,01:50.56,1,2006
35,Takahiro USHIYAMA,JPN,01:50.59,1,2006
36,Robert LEHMANN,GER,01:51.04,1,2006
37,Joerg DALLMANN,GER,01:51.32,1,2006
38,Takaharu NAKAJIMA,JPN,01:51.61,1,2006
39,Aleksey BELYAYEV,KAZ,01:52.20,1,2006
40,Changyu LI,CHN,01:53.32,1,2006
NaN,Håvard BØKKO,NOR,NaN,0,2006
