Rank,Athlete,Country,Result,Finished,Year
1,Zbigniew BRODKA,POL,01:45.01,1,2014
2,Koen VERWEIJ,NED,01:45.01,1,2014
3,Denny MORRISON,CAN,01:45.22,1,2014
4,Denis YUSKOV,RUS,01:45.37,1,2014
5,Mark TUITERT,NED,01:45.42,1,2014
6,Håvard BØKKO,NOR,01:45.48,1,2014
7,Brian HANSEN,USA,01:45.59,1,2014
8,Sverre Lunde PEDERSEN,NOR,01:45.66,1,2014
9,Denis KUZIN,KAZ,01:45.69,1,2014
10,Bart SWINGS,BEL,01:45.95,1,2014
11,Shani DAVIS,USA,01:45.98,1,2014
12,Stefan GROOTHUIS,NED,01:46.08,1,2014
13,Jan BLOKHUIJSEN,NED,01:46.50,1,2014
14,Haralds SILOVS,LAT,01:46.79,1,2014
15,Jan SZYMANSKI,POL,01:46.86,1,2014
16,Havard LORENTZEN,NOR,01:47.27,1,2014
17,Mirko NINZI,ITA,01:47.48,1,2014
18,Ivan SKOBREV,RUS,01:47.62,1,2014
19,Mathieu GIROUX,CAN,01:47.65,1,2014
20,Konrad NIEDZWIEDZKI,POL,01:47.77,1,2014
21,Guojun TIAN,CHN,01:47.95,1,2014
22,Joey MANTIA,USA,01:48.01,1,2014
23,Patrick BECKERT,GER,01:48.08,1,2014
24,Aleksey YESIN,RUS,01:48.10,1,2014
25,Aleksey SUVOROV,RUS,01:48.11,1,2014
26,Konrad NAGY,HUN,01:48.12,1,2014
27,Robert LEHMANN,GER,01:48.24,1,2014
28,Lucas MAKOWSKY,CAN,01:48.51,1,2014
29,Hyong-Jun JOO,KOR,01:48.59,1,2014
30,Dmitry BABENKO,KAZ,01:48.67,1,2014
31,Taro KONDO,JPN,01:49.31,1,2014
32,Benjamin MACE,FRA,01:49.34,1,2014
33,Vincent DE HAITRE,CAN,01:49.42,1,2014
34,Aleksandr ZHIGIN,KAZ,01:49.48,1,2014
35,Fedor MEZENTSEV,KAZ,01:49.70,1,2014
36,Simen SPIELER NILSEN,NOR,01:49.88,1,2014
37,Jonathan KUCK,USA,01:50.19,1,2014
38,David ANDERSSON,SWE,01:50.29,1,2014
39,Matteo ANESI,ITA,01:50.59,1,2014
40,Ewen FERNANDEZ,FRA,01:52.70,1,2014
