Rank,Athlete,Country,Result,Finished,Year
1,Mark TUITERT,NED,01:45.57,1,2010
2,Shani DAVIS,USA,01:46.10,1,2010
3,Håvard BØKKO,NOR,01:46.13,1,2010
4,Ivan SKOBREV,RUS,01:46.42,1,2010
5,Tae Bum MO,KOR,01:46.47,1,2010
6,Chad HEDRICK,USA,01:46.69,1,2010
7,Simon KUIPERS,NED,01:46.76,1,2010
8,Mikael FLYGIND-LARSEN,NOR,01:46.77,1,2010
9,Denny MORRISON,CAN,01:46.93,1,2010
10,Enrico FABRIS,ITA,01:47.02,1,2010
11,Yevgeny LALENKOV,RUS,01:47.06,1,2010
12,Matteo ANESI,ITA,01:47.34,1,2010
13,Sven KRAMER,NED,01:47.40,1,2010
14,Mathieu GIROUX,CAN,01:47.62,1,2010
15,Trevor MARSICANO,USA,01:47.84,1,2010
16,Stefan GROOTHUIS,NED,01:48.03,1,2010
17,Konrad NIEDZWIEDZKI,POL,01:48.15,1,2010
18,Brian HANSEN,USA,01:48.45,1,2010
19,Lucas MAKOWSKY,CAN,01:48.61,1,2010
20,Christoffer Fagerli RUKKE,NOR,01:48.62,1,2010
21,Aleksey YESIN,RUS,01:48.65,1,2010
22,Jong Woo LEE,KOR,01:49.00,1,2010
23,Denis KUZIN,KAZ,01:49.05,1,2010
24,Joel ERIKSSON,SWE,01:49.08,1,2010
25,Daniel FRIBERG,SWE,01:49.13,1,2010
26,Teruhiro SUGIMORI,JPN,01:49.19,1,2010
27,Zbigniew BRODKA,POL,01:49.45,1,2010
28,Johan RÖJLER,SWE,01:49.50,1,2010
29,Fredrik van der HORST,NOR,01:49.58,1,2010
30,Shingo DOI,JPN,01:49.77,1,2010
31,Hong-Seon HA,KOR,01:49.93,1,2010
32,Samuel SCHWARZ,GER,01:50.07,1,2010
33,Pascal BRIAND,FRA,01:50.71,1,2010
34,Xuefeng GAO,CHN,01:50.78,1,2010
35,Longjiang SUN,CHN,01:51.30,1,2010
36,Aleksandr LEBEDEV,RUS,01:52.09,1,2010
37,Kyle PARROTT,CAN,01:52.67,1,2010
